ID,regioes,cidade,hyperlink,title,subtitle,date
040dc9b7-43b7-4d0a-acac-f5164b86273c,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/15/atendimentos-sobre-auxilio-emergencial-serao-retomados-na-segunda-18-em-petrolina.ghtml,Atendimentos sobre auxílio emergencial serão retomados na segunda (18) em Petrolina ,O serviço é exclusivo para informações sobre os aplicativos Caixa Auxílio Emergencial e Caixa TEM. Os atendimentos serão das 8h às 12h. ,Há 2 semanas
5abebcac-f21e-4e7e-9431-96b9a75a9b0d,pe,petrolina-regiao,https://g1.globo.com/pe/pernambuco/noticia/2020/05/15/se-populacao-aderir-ao-isolamento-na-quarentena-pernambuco-pode-reabrir-todas-atividades-em-junho-diz-secretario.ghtml,"Se população aderir ao isolamento na quarentena, Pernambuco pode reabrir todas atividades em junho, diz secretário de Saúde","Medida é válida para todo o estado. No sábado (16), começa a quarentena no Recife, Olinda, Jaboatão dos Guararapes, Camaragibe e São Lourenço da Mata. ",Há 2 semanas
d86a6e2c-c4ab-470b-b536-511c90111b8f,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/15/sobe-para-18-o-numero-de-casos-confirmados-do-novo-coronavirus-em-araripina.ghtml,Araripina registra primeira morte pelo novo coronavírus,Agora o município contabiliza 18 casos confirmados da doença e um óbito.,Há 2 semanas
30a42a2a-2531-490d-859f-01af461fe412,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/15/prorrogadas-as-inscricoes-do-processo-seletivo-para-o-curso-de-robotica-online-do-if-sertao-pe.ghtml,Prorrogadas as inscrições do processo seletivo para o curso de Robótica Online do IF Sertão-PE ,Ao todo são 60 vagas disponíveis.,Há 2 semanas
c14dc575-475c-4c80-92fd-595deda7044f,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/15/lagoa-grande-registra-a-primeira-morte-pelo-novo-coronavirus.ghtml,Lagoa Grande registra a primeira morte pelo novo coronavírus ,"Tratava-se de um homem de 82 com residência em Lagoa Grande. O paciente morreu em Petrolina, no dia 8 de maio. A causa da morte foi confirmada na quinta-feira (14). ",Há 2 semanas
323ca89c-b0d6-461e-aee6-5270350d0052,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/15/chega-a-37-o-numero-de-casos-confirmados-do-novo-coronavirus-em-salgueiro.ghtml,Chega a 37 o número de casos confirmados do novo coronavírus em Salgueiro,"Foram confirmados cinco novos casos. Quatro pessoas tiveram o diagnóstico, através de testes rápidos, e, uma pessoa, o resultado foi emitido pelo Lacen-PE. ",Há 2 semanas
d9b099cb-ae03-4233-8fd7-354cece98c1a,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/15/operacao-apreende-mais-de-54-kg-de-maconha-em-porta-malas-de-carro-na-br-428-em-cabrobo.ghtml,Operação apreende mais de 54 kg de maconha em porta malas de carro na BR-428 em Cabrobó,"Durante uma revista minuciosa no veículo, também foi localizado aproximadamente 497 gramas de pasta base. ",Há 2 semanas
044a7ef3-df37-49be-a68f-cf15a2f5fcce,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/14/trindade-confirma-mais-um-caso-do-novo-coronavirus.ghtml,Trindade confirma mais um caso do novo coronavírus ,"Com isso, o município chega a 19 casos confirmados de Covid-19. No boletim divulgado nesta quinta-feira (14), a prefeitura reforçou o pedido para que a população permaneça em casa.",Há 2 semanas
2e4c8b3a-bd12-4a1c-ac19-1d112025dc0e,pe,petrolina-regiao,https://g1.globo.com/pe/pernambuco/noticia/2020/05/14/pe-confirma-mais-74-mortes-e-687-pacientes-com-covid-19-e-estado-tem-15588-casos-e-1298-obitos.ghtml,PE confirma mais 74 mortes e 687 pacientes com Covid-19 e estado tem 15.588 casos e 1.298 óbitos,"Do total de casos confirmados nesta quinta-feira (14), 329 se enquadram como Síndrome Respiratória Aguda Grave (Srag) e 358 são casos leves da doença. ",Há 2 semanas
7bb94298-7253-4360-9078-ed3f7f1ee80d,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/14/trf-determina-retorno-da-rota-normal-da-linha-interestadual-da-empresa-joafra-em-petrolina.ghtml,TRF determina retorno da rota normal da linha interestadual da empresa Joafra em Petrolina,"A empresa estava operando, de forma reduzida, devido uma determinação da Autarquia Municipal de Mobilidade de Petrolina (Ammpla).",Há 2 semanas
25782346-dae8-4c99-a1a6-a5424dc1742f,pe,petrolina-regiao,https://g1.globo.com/pe/pernambuco/educacao/noticia/2020/05/14/recesso-escolar-da-rede-estadual-e-antecipado-pelo-governo-de-pe-por-causa-da-pandemia.ghtml,Recesso escolar da rede estadual é antecipado pelo governo de PE por causa da pandemia da Covid-19,Produção e oferta de mais aulas na TV e na internet ficam suspensas entre sexta (15) e 29 de maio. Novos conteúdos voltam a ser disponibilizado para alunos a partir de 1º de junho. ,Há 2 semanas
d8c5cb71-92b1-4b37-acc5-952d19fd5018,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/14/covid-19-veja-o-total-de-casos-confirmados-em-petrolina-e-regiao-em-14-de-maio.ghtml,Covid-19: veja o total de casos confirmados em Petrolina e região em 14 de maio,"Na área de cobertura do portal G1 Petrolina e Região, Petrolina, Salgueiro e Araripina registraram novos casos positivos da Covid-19 , chegando a respectivamente, 93, 32 e 16 infectados.   ",Há 2 semanas
a256cc27-e9b7-4512-817c-3146fb19f273,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/13/entrega-da-segunda-etapa-do-cartao-alimentacao-escolar-sera-realizada-na-sexta-feira-15-em-sete-cidades-do-sertao-de-pe.ghtml,"Entrega da segunda etapa do Cartão Alimentação Escolar será realizada na sexta-feira (15), em sete cidades do Sertão de PE ","Serão beneficiados os alunos de 72 escolas que têm direito ao benefício, mas não receberam na primeira etapa, realizada em abril. ",Há 2 semanas
f529744c-4987-443f-bd1b-985bcf0d2c2e,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/13/escritora-e-professora-clarissa-loureiro-participa-de-live-literaria-na-quinta-feira-14.ghtml,Escritora e professora Clarissa Loureiro participa de 'live literária' na quinta-feira (14) ,"Haverá uma discussão sobre os seus livros: "" Mau hábito"", "" Invertidos"" e "" Laurus"", como representações da literatura Pernambucana contemporânea. ",Há 2 semanas
4d46f40c-b6e1-4e23-ba85-8f5acf4e604c,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/13/empresas-sao-inauguradas-em-petrolina-durante-a-pandemia-e-ajudam-a-economia-do-municipio.ghtml,Empresas são inauguradas em Petrolina durante a pandemia e ajudam a economia do município,"Moisés Oliveira abriu sua nona loja de tecidos em Petrolina, a primeira no estado de Pernambuco. Já Célio Furtado, inaugurou o segundo hortifruti em Petrolina. ",Há 2 semanas
015eb163-42f7-435a-a457-ae51e311a6cb,pe,petrolina-regiao,https://g1.globo.com/pe/pernambuco/noticia/2020/05/13/com-mais-67-obitos-e-592-casos-da-covid-19-pe-registra-1224-mortes-e-14901-confirmacoes.ghtml,"Com mais 67 óbitos e 592 casos da Covid-19, PE registra 1.224 mortes e 14.901 confirmações","Segundo o boletim divulgado pela Secretaria Estadual de Saúde nesta quarta-feira (13), estado tem 7.876 casos graves e 7.025 leves.",Há 2 semanas
f7da2e41-69d4-45ff-bb26-45aaa82564d5,pe,petrolina-regiao,https://g1.globo.com/pe/petrolina-regiao/noticia/2020/05/12/boletim-desta-terca-feira-12-nao-aponta-novos-casos-de-covid-19-em-petrolina.ghtml,Boletim desta terça-feira (12) não aponta novos casos de Covid-19 em Petrolina,O município segue com 91 casos confirmados e dois óbitos. O número de curas clínicas subiu para 24. ,Há 3 semanas
